 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
Dihghmata tou Mixalh Katrakh1.0	Dihghmata tou Mixalh Katrakh1.0	564	1000	[...]	0,564	11,333333	8,391477	5,145	0,855222	1,758203	
Dihghmata tou Mixalh Katrakh2.0	Dihghmata tou Mixalh Katrakh2.0	513	1000	[...]	0,513	11,5	8,20978	4,999	0,839125	1,618026	
Dihghmata tou Mixalh Katrakh3.0	Dihghmata tou Mixalh Katrakh3.0	494	1000	[...]	0,494	12	8,045077	5,173	0,814	1,55435	
Dihghmata tou Mixalh Katrakh4.0	Dihghmata tou Mixalh Katrakh4.0	529	1000	[...]	0,529	11	8,171305	5,118	0,8215	1,664559	
Dihghmata tou Mixalh Katrakh5.0	Dihghmata tou Mixalh Katrakh5.0	529	1000	[...]	0,529	11,5	8,182369	4,967	0,825125	1,671679	
Dihghmata tou Mixalh Katrakh6.0	Dihghmata tou Mixalh Katrakh6.0	511	1000	[...]	0,511	11	8,080454	4,812	0,8025	1,629283	
Dihghmata tou Mixalh Katrakh7.0	Dihghmata tou Mixalh Katrakh7.0	508	1000	[...]	0,508	11	8,128525	4,92	0,8255	1,602072	
Dihghmata tou Mixalh Katrakh8.0	Dihghmata tou Mixalh Katrakh8.0	532	1000	[...]	0,532	11	8,145439	5,084	0,8065	1,726565	
Dihghmata tou Mixalh Katrakh9.0	Dihghmata tou Mixalh Katrakh9.0	455	1000	[...]	0,455	11,5	7,941117	4,623	0,815125	1,45361	
Dihghmata tou Mixalh Katrakh10.0	Dihghmata tou Mixalh Katrakh10.0	483	1000	[...]	0,483	13	7,977329	4,862	0,8005	1,562084	
Dihghmata tou Mixalh Katrakh11.0	Dihghmata tou Mixalh Katrakh11.0	491	1000	[...]	0,491	12,4	7,982186	4,72	0,78288	1,544926	
Dihghmata tou Mixalh Katrakh12.0	Dihghmata tou Mixalh Katrakh12.0	501	1000	[...]	0,501	11,5	8,034875	4,829	0,814125	1,617581	
Dihghmata tou Mixalh Katrakh13.0	Dihghmata tou Mixalh Katrakh13.0	470	1000	[...]	0,47	12	7,941642	4,775	0,812	1,505333	
Dihghmata tou Mixalh Katrakh14.0	Dihghmata tou Mixalh Katrakh14.0	487	1000	[...]	0,487	12	7,940292	4,447	0,781	1,557496	
Dihghmata tou Mixalh Katrakh15.0	Dihghmata tou Mixalh Katrakh15.0	516	1000	[...]	0,516	12,5	8,075014	4,417	0,807125	1,633628	
Dihghmata tou Mixalh Katrakh16.0	Dihghmata tou Mixalh Katrakh16.0	529	1000	[...]	0,529	12	8,150543	4,693	0,807	1,685332	
Dihghmata tou Mixalh Katrakh17.0	Dihghmata tou Mixalh Katrakh17.0	507	1000	[...]	0,507	12	8,141275	4,872	0,824	1,607629	
Dihghmata tou Mixalh Katrakh18.0	Dihghmata tou Mixalh Katrakh18.0	472	1000	[...]	0,472	11,5	7,98795	4,581	0,806125	1,495747	
Dihghmata tou Mixalh Katrakh19.0	Dihghmata tou Mixalh Katrakh19.0	444	1000	[...]	0,444	12,5	7,924058	4,641	0,816125	1,416685	
Dihghmata tou Mixalh Katrakh20.0	Dihghmata tou Mixalh Katrakh20.0	520	1000	[...]	0,52	13	8,168168	4,87	0,8205	1,632991	
Dihghmata tou Mixalh Katrakh21.0	Dihghmata tou Mixalh Katrakh21.0	528	1000	[...]	0,528	13	8,189062	4,692	0,8295	1,660594	
Dihghmata tou Mixalh Katrakh22.0	Dihghmata tou Mixalh Katrakh22.0	547	1000	[...]	0,547	12	8,276644	4,979	0,834	1,708321	
Dihghmata tou Mixalh Katrakh23.0	Dihghmata tou Mixalh Katrakh23.0	467	1000	[...]	0,467	12	7,993895	4,701	0,81	1,469249	
Dihghmata tou Mixalh Katrakh24.0	Dihghmata tou Mixalh Katrakh24.0	497	1000	[...]	0,497	11	8,028725	4,656	0,7995	1,569851	
Dihghmata tou Mixalh Katrakh25.0	Dihghmata tou Mixalh Katrakh25.0	481	1000	[...]	0,481	12,333333	8,000324	4,623	0,815056	1,519649	
Dihghmata tou Mixalh Katrakh26.0	Dihghmata tou Mixalh Katrakh26.0	481	1000	[...]	0,481	10,5	8,187497	4,815	0,861125	1,533333	
Dihghmata tou Mixalh Katrakh27.0	Dihghmata tou Mixalh Katrakh27.0	447	1000	[...]	0,447	12	7,924743	4,744	0,807	1,432786	
Dihghmata tou Mixalh Katrakh28.0	Dihghmata tou Mixalh Katrakh28.0	471	1000	[...]	0,471	11,5	8,032868	4,621	0,831125	1,520572	
Dihghmata tou Mixalh Katrakh29.0	Dihghmata tou Mixalh Katrakh29.0	492	1000	[...]	0,492	12,333333	8,046427	4,665	0,812056	1,588586	
Dihghmata tou Mixalh Katrakh30.0	Dihghmata tou Mixalh Katrakh30.0	509	1000	[...]	0,509	11	8,137113	4,78	0,8225	1,624194	
Dihghmata tou Mixalh Katrakh31.0	Dihghmata tou Mixalh Katrakh31.0	512	1000	[...]	0,512	10,75	7,991202	4,895	0,779781	1,673376	
Dihghmata tou Mixalh Katrakh32.0	Dihghmata tou Mixalh Katrakh32.0	473	1000	[...]	0,473	12,5	8,025742	4,693	0,828125	1,526756	
Dihghmata tou Mixalh Katrakh33.0	Dihghmata tou Mixalh Katrakh33.0	497	1000	[...]	0,497	12	8,046163	4,98	0,807	1,595518	
Dihghmata tou Mixalh Katrakh34.0	Dihghmata tou Mixalh Katrakh34.0	488	1000	[...]	0,488	12	8,007492	4,79	0,802	1,573637	
Dihghmata tou Mixalh Katrakh35.0	Dihghmata tou Mixalh Katrakh35.0	488	1000	[...]	0,488	12	7,963148	4,615	0,795	1,582077	
Dihghmata tou Mixalh Katrakh36.0	Dihghmata tou Mixalh Katrakh36.0	484	1000	[...]	0,484	12	8,052936	4,804	0,82	1,548141	
Dihghmata tou Mixalh Katrakh37.0	Dihghmata tou Mixalh Katrakh37.0	513	1000	[...]	0,513	11	8,230066	4,934	0,8545	1,634127	
Dihghmata tou Mixalh Katrakh38.0	Dihghmata tou Mixalh Katrakh38.0	533	1000	[...]	0,533	10,5	8,227337	4,992	0,834125	1,704604	
Dihghmata tou Mixalh Katrakh39.0	Dihghmata tou Mixalh Katrakh39.0	467	1000	[...]	0,467	12	7,856586	4,455	0,777	1,535043	
Dihghmata tou Mixalh Katrakh40.0	Dihghmata tou Mixalh Katrakh40.0	514	1000	[...]	0,514	12	8,062198	4,846	0,804	1,656319	
Dihghmata tou Mixalh Katrakh41.0	Dihghmata tou Mixalh Katrakh41.0	452	1000	[...]	0,452	12	7,858238	4,585	0,79	1,461253	
